2023-10-02 00:02:17,313 - INFO - No images scraped for city_id: 265
2023-10-02 00:04:27,164 - ERROR - Error at city_id: 266 during scraping: pop from empty list
2023-10-02 00:06:01,253 - INFO - No images scraped for city_id: 266
2023-10-02 01:08:58,519 - INFO - Downloaded image for city_id: 267, 1 of 7
2023-10-02 01:08:58,708 - INFO - Downloaded image for city_id: 267, 2 of 7
2023-10-02 01:08:59,017 - INFO - Downloaded image for city_id: 267, 3 of 7
2023-10-02 01:08:59,436 - INFO - Downloaded image for city_id: 267, 4 of 7
2023-10-02 01:08:59,719 - INFO - Downloaded image for city_id: 267, 5 of 7
2023-10-02 01:09:05,305 - INFO - Downloaded image for city_id: 267, 6 of 7
2023-10-02 01:09:05,668 - INFO - Downloaded image for city_id: 267, 7 of 7
2023-10-02 01:13:39,510 - INFO - Downloaded image for city_id: 268, 1 of 7
2023-10-02 01:13:39,838 - INFO - Downloaded image for city_id: 268, 2 of 7
2023-10-02 01:13:40,342 - INFO - Downloaded image for city_id: 268, 3 of 7
2023-10-02 01:13:40,517 - INFO - Downloaded image for city_id: 268, 4 of 7
2023-10-02 01:13:40,721 - INFO - Downloaded image for city_id: 268, 5 of 7
2023-10-02 01:13:40,961 - INFO - Downloaded image for city_id: 268, 6 of 7
2023-10-02 01:13:41,158 - INFO - Downloaded image for city_id: 268, 7 of 7
2023-10-02 01:15:14,706 - INFO - Downloaded image for city_id: 268, 1 of 7
2023-10-02 01:15:14,935 - INFO - Downloaded image for city_id: 268, 2 of 7
2023-10-02 01:15:15,378 - INFO - Downloaded image for city_id: 268, 3 of 7
2023-10-02 01:15:15,657 - INFO - Downloaded image for city_id: 268, 4 of 7
2023-10-02 01:15:15,874 - INFO - Downloaded image for city_id: 268, 5 of 7
2023-10-02 01:15:16,061 - INFO - Downloaded image for city_id: 268, 6 of 7
2023-10-02 01:15:16,280 - INFO - Downloaded image for city_id: 268, 7 of 7
2023-10-02 01:21:26,131 - INFO - Downloaded image for city_id: 269, 1 of 5
2023-10-02 01:21:26,455 - INFO - Downloaded image for city_id: 269, 2 of 5
2023-10-02 01:21:26,657 - INFO - Downloaded image for city_id: 269, 3 of 5
2023-10-02 01:21:26,915 - INFO - Downloaded image for city_id: 269, 4 of 5
2023-10-02 01:21:27,115 - INFO - Downloaded image for city_id: 269, 5 of 5
2023-10-02 01:34:25,774 - INFO - Downloaded image for city_id: 270, 1 of 5
2023-10-02 01:34:26,043 - INFO - Downloaded image for city_id: 270, 2 of 5
2023-10-02 01:34:26,572 - INFO - Downloaded image for city_id: 270, 3 of 5
2023-10-02 01:34:27,267 - INFO - Downloaded image for city_id: 270, 4 of 5
2023-10-02 01:34:27,570 - INFO - Downloaded image for city_id: 270, 5 of 5
2023-10-02 01:41:31,928 - INFO - No images scraped for city_id: 271
2023-10-02 01:45:27,719 - INFO - Downloaded image for city_id: 272, 1 of 9
2023-10-02 01:45:28,792 - INFO - Downloaded image for city_id: 272, 2 of 9
2023-10-02 01:45:30,251 - INFO - Downloaded image for city_id: 272, 3 of 9
2023-10-02 01:45:36,895 - INFO - Downloaded image for city_id: 272, 4 of 9
2023-10-02 01:45:38,081 - INFO - Downloaded image for city_id: 272, 5 of 9
2023-10-02 01:45:39,215 - INFO - Downloaded image for city_id: 272, 6 of 9
2023-10-02 01:45:41,401 - INFO - Downloaded image for city_id: 272, 7 of 9
2023-10-02 01:45:42,398 - INFO - Downloaded image for city_id: 272, 8 of 9
2023-10-02 01:45:43,459 - INFO - Downloaded image for city_id: 272, 9 of 9
2023-10-02 01:53:03,221 - INFO - Downloaded image for city_id: 273, 1 of 7
2023-10-02 01:53:03,725 - INFO - Downloaded image for city_id: 273, 2 of 7
2023-10-02 01:53:04,343 - INFO - Downloaded image for city_id: 273, 3 of 7
2023-10-02 01:53:04,960 - INFO - Downloaded image for city_id: 273, 4 of 7
2023-10-02 01:53:05,572 - INFO - Downloaded image for city_id: 273, 5 of 7
2023-10-02 01:53:06,085 - INFO - Downloaded image for city_id: 273, 6 of 7
2023-10-02 01:53:06,698 - INFO - Downloaded image for city_id: 273, 7 of 7
2023-10-02 01:53:45,289 - INFO - Downloaded image for city_id: 273, 1 of 7
2023-10-02 01:53:45,676 - INFO - Downloaded image for city_id: 273, 2 of 7
2023-10-02 01:53:46,028 - INFO - Downloaded image for city_id: 273, 3 of 7
2023-10-02 01:53:46,228 - INFO - Downloaded image for city_id: 273, 4 of 7
2023-10-02 01:53:46,737 - INFO - Downloaded image for city_id: 273, 5 of 7
2023-10-02 01:53:47,253 - INFO - Downloaded image for city_id: 273, 6 of 7
2023-10-02 01:53:47,662 - INFO - Downloaded image for city_id: 273, 7 of 7
