2023-09-10 21:06:50,116 - ERROR - Error at city_id: 1 parsing JSON: 'NoneType' object has no attribute 'contents'
2023-09-10 21:06:50,117 - ERROR - Error at city_id: 1 parsing JSON: 'NoneType' object has no attribute 'contents'
2023-09-10 21:06:50,117 - ERROR - Error at city_id: 1 grabbing image URL: 'NoneType' object is not subscriptable
2023-09-10 21:06:50,117 - ERROR - Error at city_id: 1 grabbing image URL: 'NoneType' object is not subscriptable
2023-09-10 21:06:50,931 - INFO - Downloaded image for city_id: 1, 1 of 7
2023-09-10 21:06:51,823 - INFO - Downloaded image for city_id: 1, 2 of 7
2023-09-10 21:06:52,490 - INFO - Downloaded image for city_id: 1, 3 of 7
2023-09-10 21:06:58,412 - INFO - Downloaded image for city_id: 1, 4 of 7
2023-09-10 21:06:59,488 - INFO - Downloaded image for city_id: 1, 5 of 7
2023-09-10 21:07:00,435 - INFO - Downloaded image for city_id: 1, 6 of 7
2023-09-10 21:07:06,088 - INFO - Downloaded image for city_id: 1, 7 of 7
2023-09-10 21:07:06,916 - INFO - Downloaded image for city_id: 2, 1 of 13
2023-09-10 21:07:07,133 - INFO - Downloaded image for city_id: 2, 2 of 13
2023-09-10 21:07:07,255 - INFO - Downloaded image for city_id: 2, 3 of 13
2023-09-10 21:07:07,505 - INFO - Downloaded image for city_id: 2, 4 of 13
2023-09-10 21:07:07,644 - INFO - Downloaded image for city_id: 2, 5 of 13
2023-09-10 21:07:08,051 - INFO - Downloaded image for city_id: 2, 6 of 13
2023-09-10 21:07:08,384 - INFO - Downloaded image for city_id: 2, 7 of 13
2023-09-10 21:07:08,591 - INFO - Downloaded image for city_id: 2, 8 of 13
2023-09-10 21:07:08,744 - INFO - Downloaded image for city_id: 2, 9 of 13
2023-09-10 21:07:09,091 - INFO - Downloaded image for city_id: 2, 10 of 13
2023-09-10 21:07:09,437 - INFO - Downloaded image for city_id: 2, 11 of 13
2023-09-10 21:07:09,616 - INFO - Downloaded image for city_id: 2, 12 of 13
2023-09-10 21:07:09,756 - INFO - Downloaded image for city_id: 2, 13 of 13
2023-09-10 21:07:21,383 - ERROR - WARNING: City of Albuquerque INVALID SCRAPING TECHNIQUE
2023-09-10 21:07:21,587 - INFO - Downloaded image for city_id: 3, 1 of 10
2023-09-10 21:07:27,414 - INFO - Downloaded image for city_id: 3, 2 of 10
2023-09-10 21:07:32,574 - INFO - Downloaded image for city_id: 3, 3 of 10
2023-09-10 21:07:32,822 - INFO - Downloaded image for city_id: 3, 4 of 10
2023-09-10 21:07:35,336 - INFO - Downloaded image for city_id: 3, 5 of 10
2023-09-10 21:07:41,293 - INFO - Downloaded image for city_id: 3, 6 of 10
2023-09-10 21:07:47,949 - INFO - Downloaded image for city_id: 3, 7 of 10
2023-09-10 21:07:53,954 - INFO - Downloaded image for city_id: 3, 8 of 10
2023-09-10 21:08:00,713 - INFO - Downloaded image for city_id: 3, 9 of 10
2023-09-10 21:08:01,222 - INFO - Downloaded image for city_id: 3, 10 of 10
2023-09-10 21:08:02,475 - INFO - Downloaded image for city_id: 4, 1 of 7
2023-09-10 21:08:02,795 - INFO - Downloaded image for city_id: 4, 2 of 7
2023-09-10 21:08:03,227 - INFO - Downloaded image for city_id: 4, 3 of 7
2023-09-10 21:08:04,603 - INFO - Downloaded image for city_id: 4, 4 of 7
2023-09-10 21:08:04,812 - INFO - Downloaded image for city_id: 4, 5 of 7
2023-09-10 21:08:04,999 - INFO - Downloaded image for city_id: 4, 6 of 7
2023-09-10 21:08:05,193 - INFO - Downloaded image for city_id: 4, 7 of 7
2023-09-10 21:08:14,395 - INFO - Downloaded image for city_id: 5, 1 of 7
2023-09-10 21:08:15,243 - INFO - Downloaded image for city_id: 5, 2 of 7
2023-09-10 21:08:15,910 - INFO - Downloaded image for city_id: 5, 3 of 7
2023-09-10 21:08:16,557 - INFO - Downloaded image for city_id: 5, 4 of 7
2023-09-10 21:08:17,627 - INFO - Downloaded image for city_id: 5, 5 of 7
2023-09-10 21:08:18,201 - INFO - Downloaded image for city_id: 5, 6 of 7
2023-09-10 21:08:19,505 - INFO - Downloaded image for city_id: 5, 7 of 7
2023-09-10 21:08:25,901 - INFO - Downloaded image for city_id: 6, 1 of 1
2023-09-10 21:08:35,322 - INFO - Downloaded image for city_id: 7, 1 of 5
2023-09-10 21:08:36,558 - INFO - Downloaded image for city_id: 7, 2 of 5
2023-09-10 21:08:37,944 - INFO - Downloaded image for city_id: 7, 3 of 5
2023-09-10 21:08:44,504 - INFO - Downloaded image for city_id: 7, 4 of 5
2023-09-10 21:08:51,675 - INFO - Downloaded image for city_id: 7, 5 of 5
2023-09-10 21:09:14,947 - INFO - Downloaded image for city_id: 8, 1 of 7
2023-09-10 21:09:15,856 - INFO - Downloaded image for city_id: 8, 2 of 7
2023-09-10 21:09:16,230 - INFO - Downloaded image for city_id: 8, 3 of 7
2023-09-10 21:09:16,983 - INFO - Downloaded image for city_id: 8, 4 of 7
2023-09-10 21:09:18,222 - INFO - Downloaded image for city_id: 8, 5 of 7
2023-09-10 21:09:18,527 - INFO - Downloaded image for city_id: 8, 6 of 7
2023-09-10 21:09:19,435 - INFO - Downloaded image for city_id: 8, 7 of 7
