2023-09-23 00:44:40,258 - ERROR - Error at city_id: 141 during scraping: 'list' object has no attribute 'attrs'
2023-09-23 00:52:34,377 - INFO - No images scraped for city_id: 141
2023-09-23 01:07:22,302 - ERROR - Error at city_id: 142 during scraping: Expected ident, got <DELIM '/' at 1>
2023-09-23 01:11:59,035 - INFO - Downloaded image for city_id: 142, 1 of 9
2023-09-23 01:11:59,447 - INFO - Downloaded image for city_id: 142, 2 of 9
2023-09-23 01:12:00,016 - INFO - Downloaded image for city_id: 142, 3 of 9
2023-09-23 01:12:00,769 - INFO - Downloaded image for city_id: 142, 4 of 9
2023-09-23 01:12:02,200 - INFO - Downloaded image for city_id: 142, 5 of 9
2023-09-23 01:12:03,920 - INFO - Downloaded image for city_id: 142, 6 of 9
2023-09-23 01:12:10,052 - INFO - Downloaded image for city_id: 142, 7 of 9
2023-09-23 01:12:16,563 - INFO - Downloaded image for city_id: 142, 8 of 9
2023-09-23 01:12:19,915 - INFO - Downloaded image for city_id: 142, 9 of 9
2023-09-23 01:20:49,457 - INFO - Downloaded image for city_id: 143, 1 of 9
2023-09-23 01:20:49,906 - INFO - Downloaded image for city_id: 143, 2 of 9
2023-09-23 01:20:50,782 - INFO - Downloaded image for city_id: 143, 3 of 9
2023-09-23 01:20:52,555 - INFO - Downloaded image for city_id: 143, 4 of 9
2023-09-23 01:20:53,368 - INFO - Downloaded image for city_id: 143, 5 of 9
2023-09-23 01:20:55,710 - INFO - Downloaded image for city_id: 143, 6 of 9
2023-09-23 01:21:02,052 - INFO - Downloaded image for city_id: 143, 7 of 9
2023-09-23 01:21:03,052 - INFO - Downloaded image for city_id: 143, 8 of 9
2023-09-23 01:21:03,727 - INFO - Downloaded image for city_id: 143, 9 of 9
2023-09-23 01:26:26,292 - INFO - Downloaded image for city_id: 144, 1 of 5
2023-09-23 01:26:27,565 - INFO - Downloaded image for city_id: 144, 2 of 5
2023-09-23 01:26:28,564 - INFO - Downloaded image for city_id: 144, 3 of 5
2023-09-23 01:26:32,475 - INFO - Downloaded image for city_id: 144, 4 of 5
2023-09-23 01:26:38,897 - INFO - Downloaded image for city_id: 144, 5 of 5
2023-09-23 01:31:36,398 - INFO - No images scraped for city_id: 145
2023-09-23 01:46:27,425 - INFO - Downloaded image for city_id: 146, 1 of 11
2023-09-23 01:46:28,852 - INFO - Downloaded image for city_id: 146, 2 of 11
2023-09-23 01:46:29,776 - INFO - Downloaded image for city_id: 146, 3 of 11
2023-09-23 01:46:30,676 - INFO - Downloaded image for city_id: 146, 4 of 11
2023-09-23 01:46:31,371 - INFO - Downloaded image for city_id: 146, 5 of 11
2023-09-23 01:46:37,294 - INFO - Downloaded image for city_id: 146, 6 of 11
2023-09-23 01:46:37,982 - INFO - Downloaded image for city_id: 146, 7 of 11
2023-09-23 01:46:38,815 - INFO - Downloaded image for city_id: 146, 8 of 11
2023-09-23 01:46:44,625 - INFO - Downloaded image for city_id: 146, 9 of 11
2023-09-23 01:46:44,968 - INFO - Downloaded image for city_id: 146, 10 of 11
2023-09-23 01:46:50,643 - INFO - Downloaded image for city_id: 146, 11 of 11
2023-09-23 02:06:03,597 - INFO - Downloaded image for city_id: 147, 1 of 8
2023-09-23 02:06:04,374 - INFO - Downloaded image for city_id: 147, 2 of 8
2023-09-23 02:06:07,562 - INFO - Downloaded image for city_id: 147, 3 of 8
2023-09-23 02:06:08,082 - INFO - Downloaded image for city_id: 147, 4 of 8
2023-09-23 02:06:09,237 - INFO - Downloaded image for city_id: 147, 5 of 8
2023-09-23 02:06:12,384 - INFO - Downloaded image for city_id: 147, 6 of 8
2023-09-23 02:06:13,314 - INFO - Downloaded image for city_id: 147, 7 of 8
2023-09-23 02:06:16,082 - INFO - Downloaded image for city_id: 147, 8 of 8
2023-09-23 02:11:21,973 - INFO - No images scraped for city_id: 148
