2023-09-27 20:51:14,639 - INFO - No images scraped for city_id: 201
2023-09-27 20:59:31,681 - INFO - No images scraped for city_id: 202
2023-09-27 21:02:30,014 - INFO - No images scraped for city_id: 203
2023-09-27 21:13:56,549 - ERROR - Error at city_id: 204 during scraping: 'src'
2023-09-27 21:15:23,750 - ERROR - Error at city_id: 204 during scraping: 'src'
2023-09-27 21:17:02,355 - INFO - Downloaded image for city_id: 204, 1 of 9
2023-09-27 21:17:02,480 - INFO - Downloaded image for city_id: 204, 2 of 9
2023-09-27 21:17:02,677 - INFO - Downloaded image for city_id: 204, 3 of 9
2023-09-27 21:17:02,890 - INFO - Downloaded image for city_id: 204, 4 of 9
2023-09-27 21:17:03,391 - INFO - Downloaded image for city_id: 204, 5 of 9
2023-09-27 21:17:04,086 - INFO - Downloaded image for city_id: 204, 6 of 9
2023-09-27 21:17:04,585 - INFO - Downloaded image for city_id: 204, 7 of 9
2023-09-27 21:17:04,870 - INFO - Downloaded image for city_id: 204, 8 of 9
2023-09-27 21:17:05,616 - INFO - Downloaded image for city_id: 204, 9 of 9
2023-09-27 21:26:31,668 - INFO - Downloaded image for city_id: 205, 1 of 11
2023-09-27 21:26:31,912 - INFO - Downloaded image for city_id: 205, 2 of 11
2023-09-27 21:26:32,042 - INFO - Downloaded image for city_id: 205, 3 of 11
2023-09-27 21:26:32,158 - INFO - Downloaded image for city_id: 205, 4 of 11
2023-09-27 21:26:32,287 - INFO - Downloaded image for city_id: 205, 5 of 11
2023-09-27 21:26:32,405 - INFO - Downloaded image for city_id: 205, 6 of 11
2023-09-27 21:26:32,536 - INFO - Downloaded image for city_id: 205, 7 of 11
2023-09-27 21:26:32,646 - INFO - Downloaded image for city_id: 205, 8 of 11
2023-09-27 21:26:32,921 - INFO - Downloaded image for city_id: 205, 9 of 11
2023-09-27 21:26:33,100 - INFO - Downloaded image for city_id: 205, 10 of 11
2023-09-27 21:26:33,211 - INFO - Downloaded image for city_id: 205, 11 of 11
2023-09-27 21:40:58,173 - INFO - Downloaded image for city_id: 206, 1 of 7
2023-09-27 21:40:58,404 - INFO - Downloaded image for city_id: 206, 2 of 7
2023-09-27 21:40:58,672 - INFO - Downloaded image for city_id: 206, 3 of 7
2023-09-27 21:40:59,664 - INFO - Downloaded image for city_id: 206, 4 of 7
2023-09-27 21:41:00,249 - INFO - Downloaded image for city_id: 206, 5 of 7
2023-09-27 21:41:05,889 - INFO - Downloaded image for city_id: 206, 6 of 7
2023-09-27 21:41:06,512 - INFO - Downloaded image for city_id: 206, 7 of 7
2023-09-27 21:43:22,865 - INFO - Downloaded image for city_id: 206, 1 of 5
2023-09-27 21:43:23,082 - INFO - Downloaded image for city_id: 206, 2 of 5
2023-09-27 21:43:23,754 - INFO - Downloaded image for city_id: 206, 3 of 5
2023-09-27 21:43:24,179 - INFO - Downloaded image for city_id: 206, 4 of 5
2023-09-27 21:43:24,832 - INFO - Downloaded image for city_id: 206, 5 of 5
2023-09-27 21:43:50,141 - INFO - Downloaded image for city_id: 206, 1 of 7
2023-09-27 21:43:50,584 - INFO - Downloaded image for city_id: 206, 2 of 7
2023-09-27 21:43:50,802 - INFO - Downloaded image for city_id: 206, 3 of 7
2023-09-27 21:43:51,102 - INFO - Downloaded image for city_id: 206, 4 of 7
2023-09-27 21:43:51,305 - INFO - Downloaded image for city_id: 206, 5 of 7
2023-09-27 21:43:51,652 - INFO - Downloaded image for city_id: 206, 6 of 7
2023-09-27 21:43:51,994 - INFO - Downloaded image for city_id: 206, 7 of 7
2023-09-27 21:44:43,876 - INFO - Downloaded image for city_id: 206, 1 of 5
2023-09-27 21:44:44,092 - INFO - Downloaded image for city_id: 206, 2 of 5
2023-09-27 21:44:44,520 - INFO - Downloaded image for city_id: 206, 3 of 5
2023-09-27 21:44:46,122 - INFO - Downloaded image for city_id: 206, 4 of 5
2023-09-27 21:44:46,727 - INFO - Downloaded image for city_id: 206, 5 of 5
2023-09-27 21:46:57,156 - INFO - Downloaded image for city_id: 206, 1 of 5
2023-09-27 21:46:57,383 - INFO - Downloaded image for city_id: 206, 2 of 5
2023-09-27 21:46:57,739 - INFO - Downloaded image for city_id: 206, 3 of 5
2023-09-27 21:46:58,026 - INFO - Downloaded image for city_id: 206, 4 of 5
2023-09-27 21:46:58,276 - INFO - Downloaded image for city_id: 206, 5 of 5
2023-09-27 21:49:25,446 - INFO - Downloaded image for city_id: 206, 1 of 6
2023-09-27 21:49:25,796 - INFO - Downloaded image for city_id: 206, 2 of 6
2023-09-27 21:49:26,090 - INFO - Downloaded image for city_id: 206, 3 of 6
2023-09-27 21:49:26,226 - INFO - Downloaded image for city_id: 206, 4 of 6
2023-09-27 21:49:26,777 - INFO - Downloaded image for city_id: 206, 5 of 6
2023-09-27 21:49:32,100 - INFO - Downloaded image for city_id: 206, 6 of 6
2023-09-27 21:54:20,466 - INFO - Downloaded image for city_id: 206, 1 of 19
2023-09-27 21:54:21,017 - INFO - Downloaded image for city_id: 206, 2 of 19
2023-09-27 21:54:21,602 - INFO - Downloaded image for city_id: 206, 3 of 19
2023-09-27 21:54:22,181 - INFO - Downloaded image for city_id: 206, 4 of 19
2023-09-27 21:54:22,569 - INFO - Downloaded image for city_id: 206, 5 of 19
2023-09-27 21:54:22,860 - INFO - Downloaded image for city_id: 206, 6 of 19
2023-09-27 21:54:23,118 - INFO - Downloaded image for city_id: 206, 7 of 19
2023-09-27 21:54:23,492 - INFO - Downloaded image for city_id: 206, 8 of 19
2023-09-27 21:54:23,809 - INFO - Downloaded image for city_id: 206, 9 of 19
2023-09-27 21:54:24,128 - INFO - Downloaded image for city_id: 206, 10 of 19
2023-09-27 21:54:24,683 - INFO - Downloaded image for city_id: 206, 11 of 19
2023-09-27 21:54:24,901 - INFO - Downloaded image for city_id: 206, 12 of 19
2023-09-27 21:54:25,176 - INFO - Downloaded image for city_id: 206, 13 of 19
2023-09-27 21:54:25,668 - INFO - Downloaded image for city_id: 206, 14 of 19
2023-09-27 21:54:25,926 - INFO - Downloaded image for city_id: 206, 15 of 19
2023-09-27 21:54:26,220 - INFO - Downloaded image for city_id: 206, 16 of 19
2023-09-27 21:54:26,553 - INFO - Downloaded image for city_id: 206, 17 of 19
2023-09-27 21:54:27,293 - INFO - Downloaded image for city_id: 206, 18 of 19
2023-09-27 21:54:27,566 - INFO - Downloaded image for city_id: 206, 19 of 19
2023-09-27 21:54:59,962 - INFO - Downloaded image for city_id: 206, 1 of 21
2023-09-27 21:55:00,413 - INFO - Downloaded image for city_id: 206, 2 of 21
2023-09-27 21:55:00,722 - INFO - Downloaded image for city_id: 206, 3 of 21
2023-09-27 21:55:01,230 - INFO - Downloaded image for city_id: 206, 4 of 21
2023-09-27 21:55:01,904 - INFO - Downloaded image for city_id: 206, 5 of 21
2023-09-27 21:55:07,571 - INFO - Downloaded image for city_id: 206, 6 of 21
2023-09-27 21:55:07,881 - INFO - Downloaded image for city_id: 206, 7 of 21
2023-09-27 21:55:08,191 - INFO - Downloaded image for city_id: 206, 8 of 21
2023-09-27 21:55:08,494 - INFO - Downloaded image for city_id: 206, 9 of 21
2023-09-27 21:55:08,703 - INFO - Downloaded image for city_id: 206, 10 of 21
2023-09-27 21:55:08,946 - INFO - Downloaded image for city_id: 206, 11 of 21
2023-09-27 21:55:09,180 - INFO - Downloaded image for city_id: 206, 12 of 21
2023-09-27 21:55:09,415 - INFO - Downloaded image for city_id: 206, 13 of 21
2023-09-27 21:55:09,637 - INFO - Downloaded image for city_id: 206, 14 of 21
2023-09-27 21:55:09,842 - INFO - Downloaded image for city_id: 206, 15 of 21
2023-09-27 21:55:24,116 - INFO - Downloaded image for city_id: 206, 1 of 6
2023-09-27 21:55:24,597 - INFO - Downloaded image for city_id: 206, 2 of 6
2023-09-27 21:55:24,928 - INFO - Downloaded image for city_id: 206, 3 of 6
2023-09-27 21:55:25,164 - INFO - Downloaded image for city_id: 206, 4 of 6
